review_id,review_comment,true_sentiment
1,Amazing product highly recommended,Positive
2,Excellent service and friendly staff,Positive
3,Refund process was very slow,Negative
4,Very satisfied with the purchase,Positive
5,Very satisfied with the purchase,Positive
6,Love this product will buy again,Positive
7,Poor quality and delayed delivery,Negative
8,Poor quality and delayed delivery,Negative
9,Great quality and fast delivery,Positive
10,Very satisfied with the purchase,Positive
11,Product received as expected,Neutral
12,Very satisfied with the purchase,Positive
13,Love this product will buy again,Positive
14,Bad customer support experience,Negative
15,It works fine,Neutral
16,Very satisfied with the purchase,Positive
17,Very satisfied with the purchase,Positive
18,Bad customer support experience,Negative
19,Average experience overall,Neutral
20,Poor quality and delayed delivery,Negative
21,Poor quality and delayed delivery,Negative
22,Love this product will buy again,Positive
23,Very disappointed with the product,Negative
24,It works fine,Neutral
25,Great quality and fast delivery,Positive
26,Refund process was very slow,Negative
27,Item arrived damaged,Negative
28,Very satisfied with the purchase,Positive
29,Love this product will buy again,Positive
30,Poor quality and delayed delivery,Negative
31,Amazing product highly recommended,Positive
32,Product received as expected,Neutral
33,Love this product will buy again,Positive
34,Excellent service and friendly staff,Positive
35,Great quality and fast delivery,Positive
36,Love this product will buy again,Positive
37,Great quality and fast delivery,Positive
38,Amazing product highly recommended,Positive
39,Product received as expected,Neutral
40,Amazing product highly recommended,Positive
41,Amazing product highly recommended,Positive
42,Love this product will buy again,Positive
43,Very satisfied with the purchase,Positive
44,Refund process was very slow,Negative
45,Bad customer support experience,Negative
46,Poor quality and delayed delivery,Negative
47,Delivery was okay,Neutral
48,Product received as expected,Neutral
49,Refund process was very slow,Negative
50,Product received as expected,Neutral
51,Very disappointed with the product,Negative
52,Very satisfied with the purchase,Positive
53,Very satisfied with the purchase,Positive
54,Amazing product highly recommended,Positive
55,Bad customer support experience,Negative
56,Delivery was okay,Neutral
57,Great quality and fast delivery,Positive
58,The item matches the description,Neutral
59,Very disappointed with the product,Negative
60,The item matches the description,Neutral
61,Excellent service and friendly staff,Positive
62,Great quality and fast delivery,Positive
63,Bad customer support experience,Negative
64,Amazing product highly recommended,Positive
65,Refund process was very slow,Negative
66,Excellent service and friendly staff,Positive
67,Very satisfied with the purchase,Positive
68,Great quality and fast delivery,Positive
69,Excellent service and friendly staff,Positive
70,Product received as expected,Neutral
71,Great quality and fast delivery,Positive
72,Poor quality and delayed delivery,Negative
73,Love this product will buy again,Positive
74,Very disappointed with the product,Negative
75,Love this product will buy again,Positive
76,Love this product will buy again,Positive
77,Delivery was okay,Neutral
78,Amazing product highly recommended,Positive
79,Bad customer support experience,Negative
80,It works fine,Neutral
81,Very disappointed with the product,Negative
82,Very satisfied with the purchase,Positive
83,Excellent service and friendly staff,Positive
84,Love this product will buy again,Positive
85,Refund process was very slow,Negative
86,Product received as expected,Neutral
87,It works fine,Neutral
88,Very satisfied with the purchase,Positive
89,Amazing product highly recommended,Positive
90,Amazing product highly recommended,Positive
91,Great quality and fast delivery,Positive
92,Love this product will buy again,Positive
93,Bad customer support experience,Negative
94,Poor quality and delayed delivery,Negative
95,Great quality and fast delivery,Positive
96,Love this product will buy again,Positive
97,Amazing product highly recommended,Positive
98,Refund process was very slow,Negative
99,Amazing product highly recommended,Positive
100,Amazing product highly recommended,Positive
101,Excellent service and friendly staff,Positive
102,Amazing product highly recommended,Positive
103,Love this product will buy again,Positive
104,Love this product will buy again,Positive
105,The item matches the description,Neutral
106,The item matches the description,Neutral
107,Bad customer support experience,Negative
108,Product received as expected,Neutral
109,The item matches the description,Neutral
110,Bad customer support experience,Negative
111,Very satisfied with the purchase,Positive
112,Product received as expected,Neutral
113,Very disappointed with the product,Negative
114,Love this product will buy again,Positive
115,It works fine,Neutral
116,Excellent service and friendly staff,Positive
117,Amazing product highly recommended,Positive
118,Love this product will buy again,Positive
119,Very satisfied with the purchase,Positive
120,Amazing product highly recommended,Positive
